,term1,term2,sentence,is_cause,is_treat
0,AUTISM,TANTRUM,"The limited data suggest that, in children with mental retardation, AUTISM is associated with aggression, destruction of property, and TANTRUMs.",1,0
1,SLEEP PROBLEM,FAMILY STRESS,"SLEEP PROBLEMs are associated with difficult behaviors and FAMILY STRESS, and are often a focus of clinical attention over and above the primary ASD diagnosis.",1,0
2,CEREBELLAR ATAXIA,DYSFUNCTION OF THE CEREBELLUM,The term CEREBELLAR ATAXIA is employed to indicate ataxia that is due to DYSFUNCTION OF THE CEREBELLUM,1,0
3,CEREBELLAR DEGENERATION,CHRONIC ETHANOL ABUSE,"Non hereditary causes of cerebellar degeneration include CHRONIC ETHANOL ABUSE, paraneoplastic CEREBELLAR DEGENERATION, high altitude cerebral oedema, coeliac disease, normal pressure hydrocephalus and cerebellitis.",1,0
4,HEART PROBLEM,ARTHRITIS,"The disorder can present with a migratory ture of ARTHRITIS with many other features like HEART PROBLEMs, skin rash, gait abnormality and skin nodules.",1,0
5,CONSTANT JOINT PAIN,LUPUS,"Other features of LUPUS include a skin rash, extreme photosensitivity, hair loss, kidney problems, emotiol lability, lung fibrosis and CONSTANT JOINT PAIN",1,0
6,OBESITY,ARTHRITIS,"Many individuals who have ARTHRITIS also suffer from OBESITY, high cholesterol or have heart disease.",1,0
7,APHASIA,DYSPHASIA,"Traditiolly, APHASIA suggests the total impairment of language ability, and DYSPHASIA a degree of impairment less than total.",1,0
8,APHASIA,SPEECH DISORDER,"APHASIA may co-occur with SPEECH DISORDERs such as dysarthria or apraxia of speech, which also result from brain damage.",1,0
9,SCHIZOPHRENIA,TOURETTE SYNDROME,"Its main usefulness is the treatment of hyperkinetic movement disorders such as Huntington's disease and TOURETTE SYNDROME, rather than for conditions such as SCHIZOPHRENIA.",1,0
10,PSYCHOSIS,SCHIZOPHRENIA,"PSYCHOSIS, confusion, and organic brain syndrome may be caused by alcohol misuse, which can lead to a misdiagnosis such as SCHIZOPHRENIA.",1,0
11,PERIPHERAL VASCULAR DISEASE,DIABETES,"The Circulator Boot is also effective in patients of DIABETES and arteriosclerosis, and in limb ulcers caused by PERIPHERAL VASCULAR DISEASE.",1,0
12,BACTERIAL VAGINOSIS,VAGIL INFECTION,BACTERIAL VAGINOSIS is the most common cause of VAGIL INFECTION,1,0
13,TRICHOMONIASIS,TRICHOMOS VAGILIS,"TRICHOMONIASIS, an infection caused by TRICHOMOS VAGILIS.",1,0
14,DEMENTIA,BENZODIAZEPINE DEPENDENCE,"The long-term effects of benzodiazepines and BENZODIAZEPINE DEPENDENCE in the elderly can resemble DEMENTIA, depression or anxiety syndromes and progressively worsens over time.",1,0
15,INCUBATION PERIODS,KURU,These researchers noticed a genetic variation in some KURU patients that has been known to promote long INCUBATION PERIODS.,1,0
16,PYELONEPHRITIS,INHALATION ANTHRAX,As such the pediatric use of ciprofloxacin is restricted to proven complicated uriry tract infections and PYELONEPHRITIS due to E. coli and INHALATION ANTHRAX.,1,0
17,PYELONEPHRITIS,ESCHERICHIA COLI,Complicated uriry tract infections and PYELONEPHRITIS due to ESCHERICHIA COLI.,1,0
18,HIV,CHLAMYDIA,"Women infected with CHLAMYDIA are up to five times more likely to become infected with HIV, if exposed.",1,0
