text	label	label_id	graph
interestingly, many indian tribes use influence as a traditional medicine for the treatment of condition.	not	0	(u_0 / use  :2 (u_1 / influence)  :1 (u_2 / tribe  :0 (u_3 / indian)  :0 (u_4 / many))  :0 (u_5 / interestingly)  :1-of (u_6 / for  :2 (u_7 / treatment  :1-of (u_8 / of  :2 (u_9 / condition))))  :1-of (u_10 / as  :2 (u_11 / medicine  :0 (u_12 / traditional))))
influence consumption has been associated with several health outcomes such as condition, hypertension, cardiovascular disease and cancer.	cause	1	(u_13 / associate  :2 (u_14 / consumption  :0 (u_1 / influence))  :1-of (u_15 / with  :2 (u_16 / outcome  :0 (u_17 / health)  :0 (u_18 / several)  :1-of (u_19 / such  :2 (u_20 / COORD  :0 (u_21 / hypertension)  :0 (u_22 / disease  :0 (u_23 / cardiovascular))  :0 (u_24 / cancer)  :0 (u_9 / condition))))))
influence has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for condition.	cause	1	(u_20 / COORD  :0 (u_25 / factor  :0 (u_26 / risk)  :0 (u_27 / consider)  :0 (u_28 / thus)  :1-of (u_6 / for  :2 (u_9 / condition)  :1 u_20  :2 (u_31 / cause  :2 (u_32 / increase  :1-of (u_33 / in  :2 (u_34 / excretion  :0 (u_35 / urinary)  :1-of (u_8 / of  :2 (u_36 / calcium))))))))  :0 (u_29 / blame)  :0 (u_30 / notoriously)  :2 (u_1 / influence))
in influence flocks when animal-based measures related to condition, hock burns, body lesions and arthritis are identified under commercial conditions (high density).	not	0	(u_37 / identify  :2 (u_38 / measure  :0 (u_39 / related  :1-of (u_40 / to  :2 (u_20 / COORD  :0 (u_41 / burn  :0 (u_42 / hock))  :0 (u_43 / lesion  :0 (u_44 / body))  :0 (u_45 / arthritis)  :0 (u_9 / condition  :0 (u_49 / density  :0 (u_50 / high))  :0 (u_51 / commercial)))))  :0 (u_46 / base)  :0 (u_47 / animalHYPHEN))  :1-of (u_48 / under  :2 u_9)  :1-of (u_33 / in  :2 (u_52 / flock  :0 (u_1 / influence))))
in short, this study demonstrated that influence could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of condition and its complications.	not	0	(u_53 / demonstrate  :0 (u_54 / develop  :2 (u_1 / influence)  :1-of (u_6 / for  :2 (u_20 / COORD  :0 (u_55 / mitigation)  :0 (u_56 / prevention  :1-of (u_8 / of  :2 u_20))  :0 (u_57 / complication  :2-of (u_58 / HAS  :1 (u_59 / its)))  :0 (u_9 / condition)  :0 (u_60 / supplement  :0 (u_61 / pharmaceutical))  :0 (u_62 / food)  :0 (u_63 / functional)))  :1-of (u_10 / as  :2 u_20))  :1 (u_64 / study)  :1-of (u_33 / in  :2 (u_65 / short)))
we also showed that moderate consumption of influence was associated with a lower risk of developing condition.	not	0	(u_66 / show  :0 (u_13 / associate  :2 (u_14 / consumption  :0 (u_67 / moderate)  :1-of (u_8 / of  :2 (u_1 / influence)))  :1-of (u_15 / with  :2 (u_26 / risk  :0 (u_54 / develop  :2 (u_9 / condition))  :0 (u_68 / low))))  :0 (u_69 / also)  :1 (u_70 / we))
recent evidence revealed the potential of influence for reducing condition-induced oxidative stress markers.	not	0	(u_71 / reveal  :2 (u_72 / potential  :1-of (u_8 / of  :2 (u_1 / influence  :0 (u_73 / reduce  :2 (u_74 / marker  :0 (u_75 / stress  :0 (u_76 / oxidative))  :0 (u_77 / induce  :0 (u_9 / condition)))))))  :1 (u_78 / evidence  :0 (u_79 / recent)))
total phenolic extracts of influence are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against condition.	not	0	(u_80 / rich  :1 (u_81 / extract  :0 (u_82 / phenolic)  :0 (u_83 / total)  :1-of (u_8 / of  :2 (u_1 / influence)))  :1-of (u_33 / in  :2 (u_84 / flavonoid  :0 (u_20 / COORD  :0 (u_85 / regard  :1-of (u_10 / as  :2 (u_86 / tool  :0 (u_87 / therapeutic)  :1-of (u_88 / against  :2 (u_9 / condition)))))  :0 (u_66 / show)  :2 (u_89 / effect  :0 (u_90 / beneficial)  :1-of (u_91 / on  :2 (u_17 / health  :0 (u_92 / liver)))))  :0 (u_93 / bioactive)  :0 (u_94 / dietary)  :1-of u_20)))
influence is one of the five most common foods that trigger condition in children.	cause	1	(u_95 / one  :1 (u_1 / influence)  :1-of (u_8 / of  :2 (u_62 / food  :0 (u_96 / trigger  :2 (u_9 / condition)  :1-of (u_33 / in  :2 (u_97 / child)))  :0 (u_98 / common  :0 (u_99 / most))  :0 (u_100 / five)  :1-of u_96)))
condition remain a major public health concern particularly for women and children, with calcium, iodine, iron, selenium, influence, folate and vitamin a deficiencies being the most common.	not	0	(u_101 / remain  :2 (u_102 / concern  :0 (u_20 / COORD  :0 (u_103 / iodine)  :0 (u_15 / with)  :0 (u_104 / iron)  :0 (u_105 / selenium)  :0 (u_1 / influence)  :0 (u_106 / folate)  :0 (u_107 / vitamin)  :0 (u_108 / deficiency  :0 (u_98 / common  :0 (u_99 / most)))  :0 (u_36 / calcium)  :0 (u_97 / child)  :0 (u_109 / woman)  :0 (u_6 / for)  :0 (u_110 / particularly))  :0 (u_17 / health)  :0 (u_111 / public)  :0 (u_112 / major))  :1 (u_9 / condition))
