text	label	label_id	graph
interestingly, many indian tribes use influence as a traditional medicine for the treatment of condition.	not	0	(u_6 / use  :advmod (u_1 / interestingly)  :punct (u_2 / COMMA)  :nsubj (u_5 / tribe  :amod (u_3 / many)  :amod (u_4 / indian))  :obj (u_7 / influence)  :obl (u_11 / medicine  :case (u_8 / as)  :det (u_9 / a)  :amod (u_10 / traditional))  :obl (u_14 / treatment  :case (u_12 / for)  :det (u_13 / the)  :nmod (u_16 / condition  :case (u_15 / of)))  :punct (u_17 / PERIOD)  :root-of (u_0 / root))
influence consumption has been associated with several health outcomes such as condition, hypertension, cardiovascular disease and cancer.	cause	1	(u_2 / consumption  :compound (u_1 / influence)  :nsubjCOLONpass-of (u_5 / associate  :aux (u_3 / have)  :auxCOLONpass (u_4 / be)  :obl (u_9 / outcome  :case (u_6 / with)  :amod (u_7 / several)  :compound (u_8 / health)  :nmod (u_12 / condition  :case (u_10 / such  :fixed (u_11 / as))  :conj (u_14 / hypertension  :punct (u_13 / COMMA))  :conj (u_17 / disease  :punct (u_15 / COMMA)  :amod (u_16 / cardiovascular))  :conj (u_19 / cancer  :cc (u_18 / and))))  :punct (u_20 / PERIOD)  :root-of (u_0 / root)))
influence has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for condition.	cause	1	(u_5 / blame  :nsubjCOLONpass (u_1 / influence)  :aux (u_2 / have)  :advmod (u_3 / notoriously)  :auxCOLONpass (u_4 / be)  :advcl (u_7 / cause  :mark (u_6 / for)  :obj (u_9 / increase  :det (u_8 / a)  :nmod (u_13 / excretion  :case (u_10 / in)  :det (u_11 / the)  :amod (u_12 / urinary)  :nmod (u_15 / calcium  :case (u_14 / of)))))  :conj (u_24 / factor  :punct (u_16 / COMMA)  :cc (u_17 / and)  :advmod (u_18 / thus)  :cop (u_19 / be)  :det (u_20 / a)  :amod (u_21 / consider)  :det (u_22 / a)  :compound (u_23 / risk)  :nmod (u_26 / condition  :case (u_25 / for)))  :punct (u_27 / PERIOD)  :root-of (u_0 / root))
in influence flocks when animal-based measures related to condition, hock burns, body lesions and arthritis are identified under commercial conditions (high density).	not	0	(u_3 / flock  :case (u_1 / in)  :compound (u_2 / influence)  :obl-of (u_20 / identify  :mark (u_4 / when)  :nsubjCOLONpass (u_7 / measure  :amod (u_5 / animalHYPHEN)  :amod (u_6 / base)  :amod (u_8 / related  :obl (u_10 / condition  :case (u_9 / to)  :conj (u_13 / burn  :punct (u_11 / COMMA)  :compound (u_12 / hock))  :conj (u_16 / lesion  :punct (u_14 / COMMA)  :compound (u_15 / body))  :conj (u_18 / arthritis  :cc (u_17 / and)))))  :auxCOLONpass (u_19 / be)  :obl (u_23 / condition  :case (u_21 / under)  :amod (u_22 / commercial)  :appos (u_26 / density  :punct (u_24 / LRB)  :amod (u_25 / high)  :punct (u_27 / RRB)))  :punct (u_28 / PERIOD)  :root-of (u_0 / root)))
in short, this study demonstrated that influence could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of condition and its complications.	not	0	(u_2 / short  :case (u_1 / in)  :obl-of (u_6 / demonstrate  :punct (u_3 / COMMA)  :nsubj (u_5 / study  :det (u_4 / this))  :ccomp (u_11 / develop  :mark (u_7 / that)  :nsubjCOLONpass (u_8 / influence)  :aux (u_9 / could)  :auxCOLONpass (u_10 / be)  :obl (u_14 / food  :case (u_12 / as)  :amod (u_13 / functional)  :conj (u_17 / supplement  :cc (u_15 / or)  :amod (u_16 / pharmaceutical)))  :obl (u_20 / prevention  :case (u_18 / for)  :det (u_19 / the)  :conj (u_22 / mitigation  :cc (u_21 / or))  :nmod (u_24 / condition  :case (u_23 / of)  :conj (u_27 / complication  :cc (u_25 / and)  :nmodCOLONposs (u_26 / its)))))  :punct (u_28 / PERIOD)  :root-of (u_0 / root)))
we also showed that moderate consumption of influence was associated with a lower risk of developing condition.	not	0	(u_3 / show  :nsubj (u_1 / we)  :advmod (u_2 / also)  :ccomp (u_10 / associate  :mark (u_4 / that)  :nsubjCOLONpass (u_6 / consumption  :amod (u_5 / moderate)  :nmod (u_8 / influence  :case (u_7 / of)))  :auxCOLONpass (u_9 / be)  :obl (u_14 / risk  :case (u_11 / with)  :det (u_12 / a)  :amod (u_13 / low)  :acl (u_16 / develop  :mark (u_15 / of)  :obj (u_17 / condition))))  :punct (u_18 / PERIOD)  :root-of (u_0 / root))
recent evidence revealed the potential of influence for reducing condition-induced oxidative stress markers.	not	0	(u_2 / evidence  :amod (u_1 / recent)  :nsubj-of (u_3 / reveal  :obj (u_5 / potential  :det (u_4 / the)  :nmod (u_7 / influence  :case (u_6 / of)  :acl (u_9 / reduce  :mark (u_8 / for)  :obj (u_15 / marker  :amod (u_12 / induce  :compound (u_10 / condition)  :punct (u_11 / HYPHEN))  :compound (u_14 / stress  :amod (u_13 / oxidative))))))  :punct (u_16 / PERIOD)  :root-of (u_0 / root)))
total phenolic extracts of influence are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against condition.	not	0	(u_3 / extract  :amod (u_1 / total)  :amod (u_2 / phenolic)  :nmod (u_5 / influence  :case (u_4 / of))  :nsubj-of (u_7 / rich  :cop (u_6 / be)  :obl (u_11 / flavonoid  :case (u_8 / in)  :compound (u_9 / dietary)  :amod (u_10 / bioactive)  :punct (u_12 / COMMA)  :aclCOLONrelcl (u_14 / show  :nsubj (u_13 / which)  :obj (u_16 / effect  :amod (u_15 / beneficial)  :nmod (u_19 / health  :case (u_17 / on)  :compound (u_18 / liver)))  :conj (u_22 / regard  :cc (u_20 / and)  :auxCOLONpass (u_21 / be)  :obl (u_25 / tool  :case (u_23 / as)  :amod (u_24 / therapeutic)  :nmod (u_27 / condition  :case (u_26 / against))))))  :punct (u_28 / PERIOD)  :root-of (u_0 / root)))
influence is one of the five most common foods that trigger condition in children.	cause	1	(u_3 / one  :nsubj (u_1 / influence)  :cop (u_2 / be)  :nmod (u_9 / food  :case (u_4 / of)  :det (u_5 / the)  :nummod (u_6 / five)  :amod (u_8 / common  :advmod (u_7 / most))  :aclCOLONrelcl (u_11 / trigger  :nsubj (u_10 / that)  :obj (u_12 / condition)  :obl (u_14 / child  :case (u_13 / in))))  :punct (u_15 / PERIOD)  :root-of (u_0 / root))
condition remain a major public health concern particularly for women and children, with calcium, iodine, iron, selenium, influence, folate and vitamin a deficiencies being the most common.	not	0	(u_2 / remain  :nsubj (u_1 / condition)  :xcomp (u_7 / concern  :det (u_3 / a)  :amod (u_4 / major)  :amod (u_5 / public)  :compound (u_6 / health)  :nmod (u_10 / woman  :advmod (u_8 / particularly)  :case (u_9 / for)  :conj (u_12 / child  :cc (u_11 / and)))  :nmod (u_15 / calcium  :punct (u_13 / COMMA)  :case (u_14 / with)  :conj (u_17 / iodine  :punct (u_16 / COMMA))  :conj (u_19 / iron  :punct (u_18 / COMMA))  :conj (u_21 / selenium  :punct (u_20 / COMMA))  :conj (u_23 / influence  :punct (u_22 / COMMA))  :conj (u_25 / folate  :punct (u_24 / COMMA))  :conj (u_27 / vitamin  :cc (u_26 / and))  :conj (u_29 / deficiency  :det (u_28 / a)  :acl (u_33 / common  :cop (u_30 / be)  :det (u_31 / the)  :advmod (u_32 / most)))))  :punct (u_34 / PERIOD)  :root-of (u_0 / root))
