term1;term2;sentence;is_cause;is_treat;source;prp_sent;sdp;sdp_joined
bombax ceiba l. (bombacaceae) fruits;urinary stones;interestingly, many indian tribes use bombax ceiba l. (bombacaceae) fruits as a traditional medicine for the treatment of urinary stones.;0;1;FoodDisease;interestingly, many indian tribes use term1 as a traditional medicine for the treatment of term2.;['term1', 'use', 'as', 'medicine', 'for', 'treatment', 'of', 'term2'];term1 use as medicine for treatment of term2
ultra-processed food;obesity;ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer.;1;0;FoodDisease;term1 consumption has been associated with several health outcomes such as term2, hypertension, cardiovascular disease and cancer.;['term1', 'consumption', 'associate', 'with', 'outcome', 'as', 'term2'];term1 consumption associate with outcome as term2
salt;osteoporosis;salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis.;1;0;FoodDisease;term1 has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for term2.;['term1', 'blame', 'for', 'term2'];term1 blame for term2
broiler chicken;footpad dermatitis;in broiler chicken flocks when animal-based measures related to footpad dermatitis, hock burns, body lesions and arthritis are identified under commercial conditions (high density).;0;0;FoodDisease;in term1 flocks when animal-based measures related to term2, hock burns, body lesions and arthritis are identified under commercial conditions (high density).;['term1', 'flock', 'in', 'identify', 'burn', ',', 'term2'];term1 flock in identify burn , term2
sfp;diabetes;in short, this study demonstrated that sfp could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications.;0;1;FoodDisease;in short, this study demonstrated that term1 could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of term2 and its complications.;['term1', 'develop', 'as', 'food', 'or', 'prevention', 'of', 'term2'];term1 develop as food or prevention of term2
wine;ad;we also showed that moderate consumption of wine was associated with a lower risk of developing ad.;0;1;FoodDisease;we also showed that moderate consumption of term1 was associated with a lower risk of developing term2.;['term1', 'of', 'develop', 'term2'];term1 of develop term2
ginger;diabetes;recent evidence revealed the potential of ginger for reducing diabetes-induced oxidative stress markers.;0;1;FoodDisease;recent evidence revealed the potential of term1 for reducing term2-induced oxidative stress markers.;['term1', 'of', 'potential', 'for', 'reduce', 'marker', 'induce', 'term2'];term1 of potential for reduce marker induce term2
citrus aurantium l. (tpe-ca);inflammatory diseases;total phenolic extracts of citrus aurantium l. (tpe-ca) are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against inflammatory diseases.;0;1;FoodDisease;total phenolic extracts of term1 are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against term2.;['term1', 'of', 'extract', 'be', 'regard', 'against', 'term2'];term1 of extract be regard against term2
wheat;allergic reactions;wheat is one of the five most common foods that trigger allergic reactions in children.;1;0;FoodDisease;term1 is one of the five most common foods that trigger term2 in children.;['term1', 'be', 'one', 'of', 'food', 'trigger', 'term2'];term1 be one of food trigger term2
zinc;mnds;mnds remain a major public health concern particularly for women and children, with calcium, iodine, iron, selenium, zinc, folate and vitamin a deficiencies being the most common.;0;0;FoodDisease;term2 remain a major public health concern particularly for women and children, with calcium, iodine, iron, selenium, term1, folate and vitamin a deficiencies being the most common.;['term1', 'selenium', ',', 'remain', 'term2'];term1 selenium , remain term2
folic;neural tube defects;there is evidence that adequate amounts of folic acid supply to women before and during early pregnancy decreases the risk of having a neural tube defects affected child.;0;1;FoodDisease;there is evidence that adequate amounts of term1 acid supply to women before and during early pregnancy decreases the risk of having a term2 affected child.;['term1', 'supply', 'of', 'have', 'child', 'affect', 'term2'];term1 supply of have child affect term2
sword bean;cancer;sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease.;0;1;FoodDisease;term1 has been known as a traditional medicinal plant to treat term2, sinus infection, and suppurative disease.;['term1', 'know', 'as', 'plant', 'treat', 'term2'];term1 know as plant treat term2
milk;allergic;while many egg and milk-allergic children tolerate baked egg (be) and milk (bm), reactions elicited by these oral food challenges (ofcs) can be severe.;0;0;FoodDisease;while many egg and term1-term2 children tolerate baked egg (be) and term1 (bm), reactions elicited by these oral food challenges (ofcs) can be severe.;['term1', 'term2'];term1 term2
excessive consumption of red meat;coronary heart diseases;excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer.;1;0;FoodDisease;term1 is associated with various diseases including term2 and cancer.;['term1', 'associate', 'with', 'disease', 'include', 'term2'];term1 associate with disease include term2
fruit;dementia;having at least three servings of vegetables and two servings of fruit a day could help prevent dementia in older adults, new research suggests.;0;1;FoodDisease;having at least three servings of vegetables and two servings of term1 a day could help prevent term2 in older adults, new research suggests.;['term1', 'of', 'serving', 'have', 'help', 'prevent', 'term2'];term1 of serving have help prevent term2
milk;cardiovascular disease;milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (cvd), coronary heart disease (chd), and stroke.;1;0;FoodDisease;term1 and dairy products containing term1 fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as term2 (cvd), coronary heart disease (chd), and stroke.;['term1', 'and', 'disease', 'term2'];term1 and disease term2
punica granatum;ailments;over one thousand cultivars of punica granatum (punicaceae) are known and some are traditionally used to treat various ailments.;0;1;FoodDisease;over one thousand cultivars of term1 (punicaceae) are known and some are traditionally used to treat various term2.;['term1', 'of', 'cultivar', 'know', 'use', 'treat', 'term2'];term1 of cultivar know use treat term2
coffee;metabolic syndrome;further, waste products from tropical fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome.;0;1;FoodDisease;further, waste products from tropical fruits including mangosteen rind, term1 pulp and spent term1 grounds provide further options to reduce term2.;['term1', 'pulp', 'rind', ',', 'provide', 'option', 'reduce', 'term2'];term1 pulp rind , provide option reduce term2
fruit;bladder cancer;fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer.;0;1;FoodDisease;term1 and vegetable consumption was inversely related with term2 in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of term2.;['term1', 'and', 'intake', 'of', 'term2'];term1 and intake of term2
glycine max;anemia deficiency;glycine max is commonly used in algeria for treatment of anemia deficiency and osteoporosis, it ranks first in terms of vegetal proteins.;0;1;FoodDisease;term1 is commonly used in algeria for treatment of term2 and osteoporosis, it ranks first in terms of vegetal proteins.;['term1', 'use', 'for', 'treatment', 'of', 'term2'];term1 use for treatment of term2
fish oil;skin inflammation;nutritional supplementation with fish oil or ãâãâãâãâ-3 (n-3) polyunsaturated fatty acids (pufas) has potential benefits for skin inflammation.;0;1;FoodDisease;nutritional supplementation with term1 or ãâãâãâãâ-3 (n-3) polyunsaturated fatty acids (pufas) has potential benefits for term2.;['term1', 'with', 'supplementation', 'have', 'benefit', 'for', 'term2'];term1 with supplementation have benefit for term2
milk;bone loss;milk and milk products prevent the bone loss in pre- and postmenopausal women.;0;1;FoodDisease;term1 and term1 products prevent the term2 in pre- and postmenopausal women.;['term1', 'prevent', 'term2'];term1 prevent term2
chocolate;cardiovascular disease;three recent meta-analyses found significant prospective inverse associations between chocolate intake and cardiovascular disease risk.;0;1;FoodDisease;three recent meta-analyses found significant prospective inverse associations between term1 intake and term2 risk.;['term1', 'intake', 'term2'];term1 intake term2
excessive sugar consumption;metabolic diseases;since excessive sugar consumption has been related to the development of chronic metabolic diseases prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years.;0;1;FoodDisease;since term1 has been related to the development of chronic term2 prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years.;['term1', 'relate', 'to', 'development', 'of', 'prevalent', 'term2'];term1 relate to development of prevalent term2
blueberry;cvds;moreover, substantial experimental studies have supported the protective role of fruits against cvds, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action.;0;1;FoodDisease;moreover, substantial experimental studies have supported the protective role of fruits against term2, and several fruits (grape, term1, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action.;['term1', 'grape', ',', 'support', 'against', 'term2'];term1 grape , support against term2
tea infusion;paraguariensis;the results of the i. paraguariensis infusions made at 65ãâãâãâãâ°c and at 75ãâãâãâãâ° c show that there was no significant difference between both temperatures when preparing the tea infusion in relation to the presence of al, methylxanthines, phenolic compounds and flavonoids.;0;0;FoodDisease;the results of the i. term2 infusions made at 65ãâãâãâãâ°c and at 75ãâãâãâãâ° c show that there was no significant difference between both temperatures when preparing the term1 in relation to the presence of al, methylxanthines, phenolic compounds and flavonoids.;['term1', 'the', 'infusion', 'term2'];term1 the infusion term2
significant alteration in food consumption;subchronic oral toxicity;in the subchronic oral toxicity, data revealed that several significant alteration in food consumption, water consumption, protein excretion, wbcs levels, tgs, bun levels, and the absolute and relative weights in the liver, spleen and lungs.;0;0;FoodDisease;in the term2, data revealed that several term1, water consumption, protein excretion, wbcs levels, tgs, bun levels, and the absolute and relative weights in the liver, spleen and lungs.;['term1', 'reveal', 'in', 'term2'];term1 reveal in term2
garlic;heinz body hemolytic anemia;, including garlic (a. sativum) and onions (a. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in heinz body hemolytic anemia in dogs.;1;0;FoodDisease;, including term1 (a. sativum) and onions (a. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in term2 in dogs.;['term1', 'include', 'know', 'be', 'toxic', 'canine', 'erythrocyte', 'result', 'in', 'term2'];term1 include know be toxic canine erythrocyte result in term2
less healthy diet;asthma;we observed a significant positive association between less healthy diet, as expressed by higher fsam-nps di, and the asthma symptom score.;1;0;FoodDisease;we observed a significant positive association between term1, as expressed by higher fsam-nps di, and the term2 symptom score.;['term1', 'between', 'association', 'observe', 'score', 'term2'];term1 between association observe score term2
allium;cancer;allium vegetables have been shown to have beneficial effects against several diseases, including cancer.;0;1;FoodDisease;term1 vegetables have been shown to have beneficial effects against several diseases, including term2.;['term1', 'vegetable', 'show', 'have', 'effect', 'against', 'disease', 'include', 'term2'];term1 vegetable show have effect against disease include term2
breast milk;transfusion-transmitted cmv (tt-cmv) infection;although breast milk is considered a major source of transmission, transfusion-transmitted cmv (tt-cmv) infection is often suspected when cmv disease develops after transfusion.;0;0;FoodDisease;although term1 is considered a major source of transmission, term2 is often suspected when cmv disease develops after transfusion.;['term1', 'consider', 'suspect', 'term2'];term1 consider suspect term2
ginger;memory dysfunction;ginger, which has been widely used for dietary condiment, has been reported to improve memory dysfunction in an animal model of alzheimer's disease (ad).;0;1;FoodDisease;term1, which has been widely used for dietary condiment, has been reported to improve term2 in an animal model of alzheimer's disease (ad).;['term1', 'report', 'improve', 'term2'];term1 report improve term2
sodium;chronic kidney disease;current dietary guidelines recommend that patients with chronic kidney disease (ckd) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein.;1;0;FoodDisease;current dietary guidelines recommend that patients with term2 (ckd) restrict individual nutrients, such as term1, potassium, phosphorus, and protein.;['term1', 'as', 'nutrient', 'restrict', 'patient', 'with', 'term2'];term1 as nutrient restrict patient with term2
diet;diabetes;prevention of diabetes through the diet has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost.;0;1;FoodDisease;prevention of term2 through the term1 has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost.;['term1', 'through', 'prevention', 'of', 'term2'];term1 through prevention of term2
poultry;bronchitis;infectious bronchitis is one of the most common diseases in the poultry industry in many countries, especially in the regions with a dense poultry farming industry.;0;0;FoodDisease;infectious term2 is one of the most common diseases in the term1 industry in many countries, especially in the regions with a dense term1 farming industry.;['term1', 'industry', 'in', 'one', 'be', 'term2'];term1 industry in one be term2
iron-fortified cereals;iron deficiency anemia;iron-fortified cereals (ific) can contribute substantially in preventing iron deficiency anemia and maintaining an adequate body iron status.;0;1;FoodDisease;term1 (ific) can contribute substantially in preventing term2 and maintaining an adequate body iron status.;['term1', 'contribute', 'in', 'prevent', 'term2'];term1 contribute in prevent term2
iron fortifiers;iron-deficiency anemia;iron-deficiency anemia (ida) is a major global public health problem, and the iron fortifiers in diet are clearly needed in the prevention and improvement of ida for humans.;0;1;FoodDisease;term2 (ida) is a major global public health problem, and the term1 in diet are clearly needed in the prevention and improvement of ida for humans.;['term1', 'need', 'be', 'term2'];term1 need be term2
capsinoids from nonpungent chili pepper;chills;capsinoids from nonpungent chili pepper cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of chills.;0;1;FoodDisease;term1 cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of term2.;['term1', 'cultivar', 'report', 'reduce', 'promote', 'improve', 'complaint', 'of', 'term2'];term1 cultivar report reduce promote improve complaint of term2
fructose-rich food and beverages;obesity;"risk factors include male sex; obesity; hypertension; alcohol intake; diuretic use; a diet rich in meat and seafood; chronic kidney disease; a diet heavy in fructose-rich food and beverages; being a member of certain ethnic groups, including taiwanese, pacific islander, and new zealand maori; and living in high-income countries.";0;0;FoodDisease;"risk factors include male sex; term2; hypertension; alcohol intake; diuretic use; a diet rich in meat and seafood; chronic kidney disease; a diet heavy in term1; being a member of certain ethnic groups, including taiwanese, pacific islander, and new zealand maori; and living in high-income countries.";['term1', 'in', 'rich', 'diet', 'term2'];term1 in rich diet term2
rice;allergic reactions;allergen glb33 is an important allergen in rice that can cause allergic reactions such as asthma and atopic dermatitis.;1;0;FoodDisease;allergen glb33 is an important allergen in term1 that can cause term2 such as asthma and atopic dermatitis.;['term1', 'in', 'allergen', 'cause', 'term2'];term1 in allergen cause term2
flour;respiratory allergy;out of the 314 subjects tested, 22 (7%) had a respiratory allergy against flour (flour rhinitis and/or flour asthma), and 21 (6.7%) a preexistent atopic disease without actual symptoms of flour allergy.;1;0;FoodDisease;out of the 314 subjects tested, 22 (7%) had a term2 against term1 (term1 rhinitis and/or term1 asthma), and 21 (6.7%) a preexistent atopic disease without actual symptoms of term1 allergy.;['term1', 'against', 'have', 'term2'];term1 against have term2
flour dust;respiratory diseases;for decades, occupational exposure to flour dust has been linked to a range of respiratory diseases, including occupational asthma, thought to result from exposure to fungi present in the flour.;1;0;FoodDisease;for decades, occupational exposure to term1 has been linked to a range of term2, including occupational asthma, thought to result from exposure to fungi present in the flour.;['term1', 'to', 'range', 'of', 'term2'];term1 to range of term2
eggs;infectious bronchitis;in 35 flocks comprising almost 100,000 white plymouth rock birds producing hatching eggs, infectious bronchitis (ib) caused a decline in production which appeared to be connected with the age of the birds, when the outbreak started (table i).;0;0;FoodDisease;in 35 flocks comprising almost 100,000 white plymouth rock birds producing hatching term1, term2 (ib) caused a decline in production which appeared to be connected with the age of the birds, when the outbreak started (table i).;['term1', 'term2'];term1 term2
essential oil;immune disorders;because magonlia flos was described as an aromatic material in ancient chinese texts, we hypothesized that its essential oil may be used to treat immune disorders.;0;1;FoodDisease;because magonlia flos was described as an aromatic material in ancient chinese texts, we hypothesized that its term1 may be used to treat term2.;['term1', 'use', 'treat', 'term2'];term1 use treat term2
mediterranean diet;myocardial infarction;the mediterranean diet (md) affects the risk of myocardial infarction and long-term prognosis after a coronary event.;1;0;FoodDisease;the term1 (md) affects the risk of term2 and long-term prognosis after a coronary event.;['term1', 'affect', 'risk', 'of', 'term2'];term1 affect risk of term2
leaves and fruits of rhus coriaria;diabetes;the leaves and fruits of rhus coriaria are traditionally used in turkey for the treatment of diabetes.;0;1;FoodDisease;the term1 are traditionally used in turkey for the treatment of term2.;['term1', 'the', 'treatment', 'of', 'term2'];term1 the treatment of term2
garlic consumption;cancer;epidemeological as well as laboratory studies have shown that garlic consumption reduces certain cancer incidences in the stomach, colon, mammary, cervical, etc.;0;1;FoodDisease;epidemeological as well as laboratory studies have shown that term1 reduces certain term2 incidences in the stomach, colon, mammary, cervical, etc.;['term1', 'reduce', 'incidence', 'term2'];term1 reduce incidence term2
dairy products;bone diseases;however, milk is a food of high nutritional value, and complete exclusion of dairy products may favor the development of bone diseases such as osteopenia and osteoporosis.;0;1;FoodDisease;however, milk is a food of high nutritional value, and complete exclusion of term1 may favor the development of term2 such as osteopenia and osteoporosis.;['term1', 'of', 'term2'];term1 of term2
processed meats;hypertension;"however, liquid upf and processed meats were associated with increased rate of hypertension (irr: 1.32; 95%ci:1.10,1.65; irr: 1.17; 95%ci:1.01,1.36; respectively).";1;0;FoodDisease;"however, liquid upf and term1 were associated with increased rate of term2 (irr: 1.32; 95%ci:1.10,1.65; irr: 1.17; 95%ci:1.01,1.36; respectively).";['term1', 'upf', 'liquid', 'associate', 'with', 'rate', 'of', 'term2'];term1 upf liquid associate with rate of term2
taraxacum officinale;inflammatory diseases;taraxacum officinale (l.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated with obesity.;0;1;FoodDisease;term1 (l.), commonly called dandelion has been used for centuries as a natural medicine to treat term2 including some metabolic alterations associated with obesity.;['term1', 'use', 'treat', 'term2'];term1 use treat term2
tea;vd;a high educational level, a vegetable-based diet, and tea were protective factors for vd.;0;1;FoodDisease;a high educational level, a vegetable-based diet, and term1 were protective factors for term2.;['term1', 'be', 'factor', 'for', 'term2'];term1 be factor for term2
coffee;kidney disease;drinking coffee can raise public health problems, but the association between coffee and kidney disease is unknown.;0;0;FoodDisease;drinking term1 can raise public health problems, but the association between term1 and term2 is unknown.;['term1', 'term2'];term1 term2
