TV.	negative:-10.323217104657997	positive:-9.224604815989887
have	negative:-4.152843073898286	positive:-4.2620423658632784
at	negative:-4.30355260120064	positive:-4.454155080971801
doing	negative:-6.121837973527395	positive:-6.688944433191975
Movie	negative:-7.551351068212759	positive:-8.021354697458495
my	negative:-4.858325511370272	positive:-4.829576098084287
row	negative:-8.244071270295786	positive:-8.714074899541522
cost	negative:-8.531786193719137	positive:-8.244104121267357
because	negative:-4.943037552858467	positive:-5.058550439980311
money	negative:-5.9703129334155784	positive:-6.589352141821802
think	negative:-5.153226644671497	positive:-5.103901578108996
here	negative:-5.471521256064188	positive:-5.519149305053442
breakdance	negative:-10.323184242891017	positive:-9.630037062331072
disagree	negative:-8.531786193719137	positive:-8.244104121267357
even	negative:-4.714267393818239	positive:-5.096537884945935
movie	negative:-4.036709087070727	positive:-4.239785075334128
/	negative:-4.200874606480619	positive:-4.194511912692791
Roxy	negative:-10.323217104657997	positive:-9.224604815989887
is	negative:-3.7970123469564463	positive:-3.784503497264738
Claus	negative:-9.630135644392501	positive:-8.936988463832558
's	negative:-3.992661920082302	positive:-3.9841221585341673
I	negative:-3.881958409138153	positive:-3.961618341687399
just	negative:-4.494447899342053	positive:-4.67734599117648
this	negative:-3.828169379235968	positive:-3.8847320737272066
Finland	negative:-10.323184242891017	positive:-9.630037062331072
you	negative:-4.310287649126042	positive:-4.293758347174831
<	negative:-4.2051071271689215	positive:-4.192368101391492
and	negative:-3.739047115213977	positive:-3.716925198126706
seated	negative:-9.630102784785171	positive:-9.224637676677007
there	negative:-4.607755837073114	positive:-4.843928888677658
out	negative:-4.445483663675352	positive:-4.573939894127828
on	negative:-4.176841962936864	positive:-4.1441859999628115
as	negative:-4.189718401828465	positive:-4.110969355396149
which	negative:-4.829511400384267	positive:-4.86662906334077
front	negative:-6.957759812239216	positive:-6.891068437740544
many	negative:-5.520810299752113	positive:-5.1400378042343196
with	negative:-4.117371737012282	positive:-4.035082342255767
they	negative:-4.466680543140223	positive:-4.643972751529175
experience	negative:-7.38071506081586	positive:-6.540964406064039
