"A lawyer is drawn into a deadly game of cat and mouse when he becomes involved with a femme fatale in this adaptation of a Grisham novel. Altman creates a suspenseful, Gothic atmosphere but the script is weak. Sporting a Southern drawl, Branagh is convincing as the lawyer, and Davidtz is alluring as the object of his desire. Downey is likable as a private detective. Duvall has a small role, which does not allow him to do much with his weird character. Hannah and Berenger round out the impressive cast. After an interesting setup, the film bogs down and does not really deliver on its initial promise, but Altman is always worth a look.",positive
"I haven't seen this movie in years, the last time i did i was really drunk after 5 pints of tenant's at my local Witherspoon's but even then i though it was quite awful. this movie is pretty terrible compared to the other critters movies, the first two were quite good, 3 was quite crap but miles better than this. The story takes place 53 years after critter's 3, were Charlie the bounty hunter from the previous movies is found floating in a pod in outer space by a crew of some kind of space miner,em,people and taken on board. Once on board the last critter eggs left in the galaxy which Charlie has brought with him from Earth crack open and we then have critters on board the space ship, cue an obvious 'Alien' rip off and a lot of terrible FX and you pretty much have this movie in a nutshell. only good thing is when we are re-introduced to UG(or so we are lead to believe) who is now a villain and wants to preserve the critters instead of destroying them",negative
"I saw this film with a live performance by the Buffalo Philharmonic, and the music was one of the two things that definitely made the experience for me; particularly, the song after the battle where the woman is looking for her husband was just devastating. The other thing that stood out to me is the battle on the ice itself, a bit of strategy ripped off thoroughly by the makers of _King Arthur_ in 2004. Also, the battle goes on forever (half an hour?)-- painfully long. I can't think of another propaganda film that makes war look less glamorous or rewarding. I'm surprised Stalin liked this film so well; I wouldn't want to go out and fight after watching it.",positive
"Bloody Birthday plays on the assumed innocence of children and shows them as bloodthirsty monsters. Steven (Andy Freeman), Curtis (Billy Jayne;credited as Billy Jacoby), and Debbie (Elizabeth Hoy), were all born on the same day during an eclipse. Besides sharing a birthday, they also share a love of murder (and they're not picky about who they kill either). Young Billy, Elizabeth, and Andy play the parts of these emotionless monsters quite well but they know when to put on the charm too. But they can't go on fooling everyone. This is an overall good horror flick, its not too unrealistic, there are a few good moments of suspense and the kids portrayed the roles well, (the grown-ups are pretty hammy though). I'd say its well worth seeing, (I own a copy myself).",positive
"Although coming after three Star Wars, Krull & countless others, this movie would look outdated in the 1950s... 1 SFX mostly consist of 1970s videogames effects such as bolts etc; annoying after a short while. You also get a SFX creature that looks like a poor man's version of some tier-IV Harryhausen monster.<br /><br />2 sets are mainly ruins in the countryside, with papier-mache temples and miniature cities or abodes that makes 1950s Japanese monster movies look like flawless perfection.<br /><br />3 Plot is paper extra-thin...Hercules must find Zeus' seven golden thunderbolts stolen by conspiring gods & zombie tyrants.<br /><br />4 action mainly consists in retarded, muscled-up Hercules ( check the variety of facial expressions ) wrestling cheap 1970s videogames effects.<br /><br />5 acting award goes to Milly Carlucci (third Carlucci show-biz sister with Anna & Gabriella ), which says all.<br /><br />6 SFX make other tier-II Italian salad bowl movies such as L'UMANOIDE & STAR CRASH look like masterpieces.<br /><br />Well, considering that Ferrigno's main acting exploit consisted in impersonating a retarded green monster, wearing a whig and green espadrillas, we ought to be lenient.<br /><br />Watch it & forget about it.",negative
"...but other than that, there's almost no redeeming social value to this sequel to the original Poseidon Adventure. Where the heck are all the people from the original, including the rescue crew? Michael Caine undergoes his most humiliating performance to date (although he later trumps himself with Jaws 4 down the road). Slim Pickens is just embarrassing as a stereotyped Texas, and generally you just have to wonder, ""Why did they bother?"" Irwin Allen's last stab at cashing in on the disaster craze, I guess.",negative
"Hoot was terrific. The owls are adorable and the movie highlights an interesting environmental issue I didn't know existed. Florida is full of so many fun characters and the film does a great job of bringing that to the screen. My kids particularly loved all the different animals, from snakes, to owls to alligators. It's really a simple story, but also one that they need to hear at this age. When kids are young that's when they really develop their sense of values, and yes one of those must be caring for our environment and all the creatures that live in it. I think it was great that the film even sparked a conversation with them on the ride home about animals and how to help them. It was just truly sweet and enduring to hear my little girl talk about how she wanted to save the baby birds. Anyway, overall it was really a great time and I'd recommend the movie to anyone looking for something entertaining AND meaningful.",positive
"Caught part of GEORGE 2 on TV recently, but couldn't get myself to watch it through to the end. Just awful! I can't even remember the plot. All I know is that George and Ursula were not the George and Ursula of the first movie, which was bad enough. There's a lot of scrambling around, but the direction and editing were so shoddy and choppy, it was like watching outtakes or deleted scenes. Having the original voice of Ape the Ape back was not nearly enough to make me warm up to this. GEORGE 2 is probably the single worst sequel I have ever seen, and that is saying something. Jeez, because of IMDb's 10 lines rule, I have to keep typing when I have nothing more to say about this crapulastic made-for-TV sequel. Disney, hang your head in shame.",negative
"I love cartoons. They can show things that films with 'real' actors and scenery cannot - though computer effects are changing that more and more. They can push the boundaries of satire ('The Simpsons'), good taste ('South Park'), spectacle ('Aladdin'), or reality ('Toy Story'). There are some good examples of this in 'Ice Age', such as when we see a motley herd of now-extinct mammals migrating across countryside, chatting like old friends. Such scenes are a pleasure to watch, as we get the feeling of both the familiar and the strange at the same time, usually in a way that makes us laugh. While Ice Age is not as good as the top animated movies of all time, it's a really fun film. Sit back, enjoy the deliberate anachronisms, the lovely backgrounds and the belly-laughs.<br /><br />The story follows Manfred the grumpy mammoth, Sid, an idiotic sloth, and Diego, a sabretooth tiger, as they take a human baby back to his tribe - for very different reasons. On the way, naturally, they have a whole lot of problems. Also popping up throughout the journey is Scrat, history's unluckiest rodent, who is desperately trying to bury an acorn for the winter: in glaciers, on top of dead trees, in ice-caves. His opening scene is a classic.<br /><br />It's a simple story with a very predictable end and a middle that is just a series of funny incidents with some character-building moments thrown in, but some of the scenes, such as the nappy-changing or the dodos, are hilarious, the animals are likeable and it looks good. There is one quite touching moment too, when cave paintings of mammoths come to life in front of Manfred's eyes.<br /><br />Not a must-see, but good for a fun hour or so.<br /><br />7/10",positive
"Have you seen The Graduate? It was hailed as the movie of its generation. But A River Runs Through It is the story about all generations. Long before Dustin Hoffman's character got all wrapped up in the traps of modern suburbia, Norman Maclean and his brother Paul were facing the same crushing pressures of growing up as they tried to find their place in the world. But how could a place like post WW1 Montana be a showcase for the American family, at a time when the Wild West still was not completely gone? Just what has Maclean tapped into that strikes so deeply at who we all are and what we have to go through to find ourselves? As the movie opens, Norman is an old man, flyfishing beside a rushing river, trying to understand the course his own life has taken. The movie is literally a journey up through his own stream of consciousness, against time's current and back to when he was a boy. He and his younger brother Paul were the sons of a Presbyterian minister and devoted mother. The parents fit snugly into their roles. Mom takes care of house and home. Dad does the work of the Lord. The boys ponder what they will be when they grow up. Norm has it narrowed down to a boxer or a minister like his dad. Given the choice, little Paul would be the boxer, since he's told his first choice of pro flyfisherman doesn't even exist. The boys grow up and get into trouble with their pranks, fight to see who is tougher and do the things brothers do, all the while attending church and taking part in all other spiritual matters like flyfishing. They are at similar points in their lives before college. But when Norm returns from his six years at Dartmouth, things are very different. Paul is at the top of his game. Master flyfisherman. Grad of a nearby college and newspaper reporter who knows every cop on the beat and every judge on the bench. Norman is stunningly well educated for his day but has little idea what to do with his life, even as his father grills him about what he intends to do. You're left feeling that at least to Pops, God will call you to your life's work. But you have to stay open and ready to receive it -- all your life. Father has always taken his boys to reflect by the side of the river and contemplate God's eternal words. ""Listen,"" their father urges. It's both Zen and Quakerly. Pretty radical for a stoic clergyman. But with all the beauty and contemplation, and even though the Macleans are truly a God-fearing, scripture-heeding household, how is it that Rev. Maclean's family is unraveling? Paul is true perfection as he fishes the river, but he's feeling the pull of gambling and boozing, while his family doesn't know how to keep him from winding up where he seems to be headed. Mom, Dad and Brother all seem to have the same quiet desperation of not knowing what they should be doing and why they can't seem to help. Pauly just waves it all off with a grin and his irresistible charm. But the junior brother is losing his grip. Norman starts getting his life on track, finding love and career, but Paul continues to slide. The family that loves him watches helplessly. Mother, Father, Brother flounder in their own ways trying to help, but none very effectively. How can a family that loves each other so much be so ill-equipped to handle this? How can someone be so artful and full of grace when out in God's nature, yet be somehow unfit or unwilling to fit into the constructs of society that God's peoples have made for themselves? These are all questions Norman will ponder his entire life. The eternal words beneath the smooth stones of the river forever haunt him, yet keep their secrets. The movie is beautiful to watch. This is certainly God's country, and filming it won an Oscar. Director Robert Redford plays with the story from the book and teases the narration a bit to follow the emotional pattern he's presenting, and it works well. But do go back and read the book, too. You'll see Norman made connections with his old man even deeper than the movie can suggest -- and you'll see the places where the storyteller's very words gurgle and sing right off the page with an exuberance of a river running through it, leading into the unknown.",positive
